Word          Count
moral             2
is--'Oh,          1
'tis              2
love,             1
love              1
'round!'"         1
"Somebody         1
said,"            1
whispered,        1
everybody         1
minding           1
business!"        1
"Ah,              1
well!             1
digging           1
shoulder,         1
is--'Take         1
sense             1
themselves.'"     1
To                5
Duchess's         2
linked            2
hers              2
tremble.          1
frowning          1
thunderstorm!     1
fair              1
warning,"         1
Queen,            3
spoke,            1
"either           1
time.             1
Take              1
choice!"          1
choice,           1
"Let's            1
game,"            1
word,             1
croquet-ground.   1
All               2
playing,          1
quarreling        1
so,               1
players,          1
except            1
King,             6
custody           1
execution.        1
breath,           1
King              9
company           1
generally,        1
pardoned."        1
Trial's           1
beginning!"       1
distance,         1
others.           2
IX--WHO           1
STOLE             1
TARTS?            1
Hearts            1
seated            1
throne            1
arrived,          1
them--all         1
sorts             1
beasts,           1
cards:            1
standing          1
chains,           1
soldier           1
guard             1
him;              1
trumpet           2
scroll            1
parchment         1
middle            1
court             3
tarts             3
they'd            1
trial             2
done,"            1
refreshments!"    1
wore              1
wig.              1
jury-box,"        1
twelve            1
(some             1
birds)            1
jurors."          1
"Silence          1
court!"           1
"Herald,          1
read              6
accusation!"      1
King.             7
blew              2
blasts            2
trumpet,          1
unrolled          1
parchment-scroll  1
follows:          1
tarts,            1
summer            1
day;              1
stole             1
"Call             2
witness,"         1
King;             1
"First            1
witness!"         2
witness           3
teacup            3
bread             3
butter            2
finished,"        1
"When             1
begin?"           1
Hare,             1
court,            1
Dormouse.         1
"Fourteenth       1
March,            1
_think_           1
was,"             1
said.             2
"Give             2
evidence,"        2
nervous,          1
executed          1
spot."            1
encourage         1
all;              2
shifting          1
uneasily          1
instead           1
butter.           1
sensation--she    1
miserable         1
knee.             1
man,              1
_speaker_,"       1
go,"              1
court.            1
cook.             3
carried           1
pepper-box        1
once.             1
"Sha'n't,"        1
"Your             1
Majesty           1
cross-examine     1
witness."         2
must,             2
must,"            1
"Pepper,          1
mostly,"          1
disappeared.      1
"Never            1
mind!"            1
"call             1
watched           1
fumbled           1
list.             1
Imagine           1
surprise          1
shrill            1
"Alice!"          1
X--ALICE'S        1
EVIDENCE          1
"Here!"           1
tipped            1
jury-box,         1
upsetting         1
jurymen           2
below.            4
_beg_             1
exclaimed         1
tone              1
dismay.           1
cannot            5
proceed,"         1
"until            1
proper            1
places--_all_,"   1
repeated          1
emphasis,         1
business?"        1
"Nothing          1
whatever,"        1
book:             1
"Rule             1
forty-two.        1
_All              1
persons           1
mile              2
court_."          1
"_I'm_            1
high,"            2
"Nearly           1
miles             1
rate,"            1
pale              1
note-book         1
hastily.          1
"Consider         1
verdict,"         1
jury,             1
evidence          2
yet,              1
hurry.            1
"This             1
up.               1
letter            2
written           4
prisoner          1
to--to            1
somebody."        1
added,            2
isn't             1
verses."          1
"Please,          1
Knave,            1
write             1
prove             1
did;              1
signed            2
end."             1
_must_            1
mischief,         1
honest            1
man,"             1
clapping          1
this.             1
"Read             1
them,"            1
dead              2
whilst            1
verses.           1
we've             1
"_I_              1
atom              1
saves             1
trouble,          1
needn't           1
any.              1
Let               1
consider          1
verdict."         1
no!"              1
"Sentence         1
first--verdict    1
afterwards."      1
"Stuff            1
first!"           1
"Hold             1
tongue!"          1
purple.           1
moved.            1
cares             1
grown             1
time).            1
cards!"           1
rose              1
air               1
flying            1
scream,           1
fright            1
anger,            1
beat              1
lap               1
sister,           2
gently            1
brushing          1
fluttered         1
"Wake             1
sister.           1
had!"             1
dream!"           1
told              1
adventures        1
reading           2
about.            1
ran,              1
might,            1
wonderful         1
dream             1
been.             1
End               1
END               1
*****             2
file              2
named             1
19033-8.txt       1
19033-8.zip       1
associated        7
files             2
formats           2
in:               1
http://www.gutenberg.org/1/9/0/3/19033/1
Updated           1
editions          3
replace           1
previous          1
one--the          1
renamed.          1
Creating          1
works            22
public            8
domain            7
print             1
owns              2
United           10
States            4
copyright        12
works,            5
Foundation       14
(and              1
you!)             1
distribute        5
permission        6
paying            2
royalties.        1
Special           1
rules,            1
forth             8
General           3
Terms             2
Use               2
part              4
license,          2
apply             1
copying           2
distributing      6
Gutenberg-tm     53
electronic       27
protect           2
GUTENBERG-tm      1
concept           2
trademark.        3
registered        2
trademark,        3
used              3
charge            6
eBooks,           2
unless            3
receive           3
specific          1
permission.       1
If               14
copies            7
eBook,            1
complying         3
easy.             1
nearly            1
purpose           1
creation          1
derivative        3
reports,          1
performances      1
research.         1
modified          1
given             1
away--you         1
practically       1
ANYTHING          1
eBooks.           2
Redistribution    1
trademark         3
especially        1
commercial        1
redistribution.   1
START:            1
FULL              2
LICENSE           2
PLEASE            1
READ              1
BEFORE            1
YOU               6
DISTRIBUTE        1
OR                6
USE               1
WORK              1
mission           3
promoting         2
distribution      6
using             4
(or               3
phrase            4
"Project          5
Gutenberg"),      1
agree             7
comply            6
Full              1
(available        1
http://gutenberg.org/license).1
Section           7
1.                1
Redistributing    1
1.A.              1
work,             7
indicate          1
read,             1
understand,       1
accept            1
license           1
intellectual      2
property          2
(trademark/copyright)1
agreement.        3
abide             1
agreement,        6
cease             1
return            3
destroy           2
possession.       1
paid              6
fee               8
obtaining         2
access           10
bound             2
obtain            3
refund            6
entity            3
whom              1
paragraph        10
1.E.8.            2
1.B.              1
Gutenberg"        4
See               2
1.C               1
lot               1
follow            1
agreement         8
preserve          1
future            3
works.            5
1.E               1
1.C.              1
Literary         13
Archive          13
("the             1
Foundation"       1
PGLAF),           1
compilation       1
collection        3
Nearly            1
individual        4
States.           4
located           4
States,           2
claim             1
prevent           1
copying,          2
distributing,     1
performing,       3
displaying        2
creating          3
based             2
references        2
removed.          1
Of                1
support           3
freely            4
sharing           1
compliance        3
work.             5
format            4
attached          1
share             1
1.D.              1
laws              7
place             1
also              2
govern            1
Copyright         1
countries         1
change.           1
check             2
country           2
addition          1
downloading,      1
displaying,       2
representations   1
concerning        2
status            4
1.E.              1
Unless            1
removed           1
Gutenberg:        1
1.E.1.            2
following         3
sentence,         1
active            2
links             3
appear            1
prominently       2
whenever          1
(any              1
appears,          1
associated)       1
accessed,         1
displayed,        1
performed,        1
viewed,           1
copied            2
distributed:      1
1.E.2.            1
derived           1
(does             1
contain           2
indicating        1
posted            5
holder),          1
distributed       3
fees              2
charges.          1
redistributing    1
providing         4
appearing         1
requirements      2
paragraphs        3
1.E.1             3
1.E.7             2
1.E.8             2
1.E.9.            3
1.E.3.            1
holder,           1
additional        3
imposed           1
holder.           1
Additional        1
holder            1
1.E.4.            1
unlink            1
detach            1
remove            1
containing        1
Gutenberg-tm.     1
1.E.5.            1
copy,             4
display,          1
perform,          1
redistribute      1
License.          2
1.E.6.            1
convert           1
binary,           1
compressed,       1
nonproprietary    1
proprietary       1
form,             1
including         7
word              1
processing        1
hypertext         1
form.             2
provide           6
"Plain            2
Vanilla           2
ASCII"            2
official          3
version           1
web               3
site              4
(www.gutenberg.org),1
cost,             1
expense           1
user,             1
exporting         1
request,          1
original          1
Any               1
alternate         1
include           1
specified         2
1.E.7.            1
viewing,          1
reasonable        1
provided          3
-                 7
pay               1
royalty           1
20%               1
gross             1
profits           1
derive            1
calculated        1
method            1
calculate         1
applicable        3
taxes.            1
owed              1
owner             3
agreed            1
donate            1
royalties         1
Foundation.       1
Royalty           2
payments          3
60                1
days              4
date              2
prepare           1
legally           1
required          1
prepare)          1
periodic          1
tax               6
returns.          1
clearly           1
sent              1
address           1
4,                1
"Information      1
donations        11
Foundation."      1
money             3
user              2
notifies          1
writing           3
e-mail)           1
30                1
receipt           2
s/he              1
require           1
possessed         1
physical          2
medium            3
discontinue       1
provide,          1
accordance        2
1.F.3,            3
replacement       3
defect            2
discovered        1
reported          1
90                2
group             1
Michael           2
Hart,             1
Contact           1
3                 2
1.F.              1
1.F.1.            1
volunteers        5
employees         2
expend            1
considerable      2
effort            1
identify,         1
research          1
transcribe        1
proofread         1
collection.       1
Despite           1
efforts,          1
stored,           1
"Defects,"        1
as,               1
limited           2
incomplete,       1
inaccurate        1
corrupt           1
data,             1
transcription     1
errors,           1
infringement,     1
defective         2
damaged           1
disk              1
medium,           2
computer          2
virus,            1
codes             1
damage            1
equipment.        2
1.F.2.            1
LIMITED           3
WARRANTY,         1
DISCLAIMER        1
DAMAGES           2
Except            2
"Right            1
Replacement       1
Refund"           1
described         1
Foundation,       4
disclaim          1
liability         1
damages,          1
costs             2
expenses,         2
legal             2
fees.             1
AGREE             2
THAT              2
HAVE              1
NO                2
REMEDIES          1
FOR               3
NEGLIGENCE,       1
STRICT            1
LIABILITY,        1
BREACH            2
WARRANTY          1
CONTRACT          1
EXCEPT            1
THOSE             1
PROVIDED          1
PARAGRAPH         1
F3.               1
FOUNDATION,       1
TRADEMARK         1
OWNER,            1
ANY               3
DISTRIBUTOR       1
UNDER             1
AGREEMENT         1
WILL              1
NOT               2
BE                1
LIABLE            1
TO                2
ACTUAL,           1
DIRECT,           1
INDIRECT,         1
CONSEQUENTIAL,    1
PUNITIVE          1
INCIDENTAL        1
EVEN              1
IF                1
GIVE              1
NOTICE            1
POSSIBILITY       1
SUCH              1
DAMAGE.           1
1.F.3.            1
RIGHT             1
REPLACEMENT       1
REFUND            1
discover          1
receiving         1
(if               1
any)              1
sending           1
explanation       1
received          5
from.             1
explanation.      1
elect             1
lieu              2
refund.           2
electronically,   1
choose            1
electronically    1
defective,        1
demand            1
further           1
opportunities     1
fix               1
problem.          1
1.F.4.            1
'AS-IS'           1
WITH              1
OTHER             1
WARRANTIES        2
KIND,             1
EXPRESS           1
IMPLIED,          1
INCLUDING         1
BUT               1
MERCHANTIBILITY   1
FITNESS           1
PURPOSE.          1
1.F.5.            1
states            4
allow             1
disclaimers       1
implied           1
warranties        1
exclusion         1
limitation        3
types             1
damages.          1
disclaimer        2
violates          1
law               1
interpreted       1
maximum           1
permitted         2
law.              1
invalidity        1
unenforceability  1
provision         1
void              1
remaining         1
provisions.       1
1.F.6.            1
INDEMNITY         1
indemnify         1
owner,            1
agent             1
employee          1
production,       1
promotion         1
harmless          1
liability,        1
fees,             1
arise             1
directly          1
indirectly        1
occur:            1
(a)               1
(b)               1
alteration,       1
modification,     1
additions         1
deletions         1
(c)               1
Defect            1
cause.            1
2.                1
Information       4
Mission           1
synonymous        1
readable          2
widest            2
variety           1
computers         1
obsolete,         1
old,              1
middle-aged       1
new               3
computers.        1
exists            1
efforts           2
hundreds          1
walks             1
Volunteers        1
financial         1
assistance        1
need,             1
critical          1
Gutenberg-tm's    1
goals             1
ensuring          1
remain            1
available         1
generations       1
come.             1
2001,             1
created           2
secure            1
permanent         1
generations.      1
learn             1
help,             1
Sections          1
4                 1
page              2
http://www.pglaf.org.1
3.                1
non               1
profit            1
501(c)(3)         2
educational       1
corporation       1
organized         1
Mississippi       1
granted           1
exempt            2
Internal          1
Revenue           1
Service.          1
Foundation's      3
EIN               1
federal           2
identification    1
64-6221541.       1
Its               2
http://pglaf.org/fundraising.1
Contributions     1
deductible        1
extent            1
U.S.              3
state's           1
laws.             1
principal         1
office            2
4557              1
Melan             1
Dr.               2
S.                2
Fairbanks,        1
AK,               1
99712.,           1
scattered         1
throughout        1
numerous          1
locations.        1
809               1
North             1
1500              1
West,             1
Salt              1
Lake              1
City,             1
UT                1
84116,            1
(801)             1
596-1887,         1
email             2
business@pglaf.org.1
Email             1
contact           3
information       2
http://pglaf.org  2
information:      1
Gregory           1
B.                1
Newby             1
Chief             1
Executive         1
Director          1
gbnewby@pglaf.org 1
4.                1
Donations         2
depends           1
survive           1
carry             1
increasing        1
licensed          1
machine           1
form              1
accessible        1
array             1
equipment         1
outdated          1
Many              1
($1               1
$5,000)           1
particularly      1
maintaining       1
IRS.              1
committed         1
regulating        1
charities         1
charitable        1
50                1
Compliance        1
uniform           1
takes             1
effort,           1
paperwork         1
requirements.     1
solicit           2
locations         1
confirmation      1
compliance.       1
SEND              1
DONATIONS         1
determine         1
visit             1
While             1
contributions     1
solicitation      1
requirements,     1
prohibition       1
accepting         1
unsolicited       1
donors            1
approach          1
offers            1
donate.           1
International     1
gratefully        1
accepted,         1
statements        1
treatment         1
alone             1
swamp             1
staff.            1
Please            1
Web               3
pages             1
current           1
donation          1
methods           1
addresses.        1
accepted          1
ways              1
checks,           1
credit            1
card              1
donations.        1
donate,           1
visit:            1
http://pglaf.org/donate1
5.                1
About             1
Professor         1
Hart              1
originator        1
library           1
shared            1
anyone.           1
thirty            1
years,            1
produced          1
eBooks            3
loose             1
network           1
volunteer         1
support.          1
often             1
editions,         1
confirmed         1
Public            1
Domain            1
included.         1
Thus,             1
necessarily       1
edition.          1
Most              1
start             1
main              1
PG                1
facility:         1
http://www.gutenberg.org1
includes          1
Gutenberg-tm,     1
produce           1
subscribe         1
newsletter        1
